X,Y,OBJECTID,FACILITYID,MUNICIPALITY,LOCATIONDESC
-79.2642137423088,44.0064187235077,1,3026,,Bloomington Avenue and Ninth Line
-79.4203136539709,43.8385227255761,2,3050,,Highway 7 and Red Maple Road
-79.4287199603194,43.9310676370687,3,3042,,Stouffville Road and Bayview Avenue
-79.5392087003738,43.8293299222948,4,3041,,Rutherford Road and Sweetriver Boulevard/Vaughan Mills Mall
-79.4143793689477,44.2042265708179,5,3040,,Ravenshoe Road and Warden Avenue
-79.5892973339782,43.7806110979532,6,3030,,Highway 7 and Islington Avenue
-79.5282183702216,43.9287063757573,7,3033,,Keele Street and King Road
-79.4984085474021,44.0125462018337,8,3022,,Bathurst Street and 18th Sideroad/St. Johns Sideroad
-79.3370388438056,43.9903332451266,9,3027,,Bloomington Road and Kennedy Road
-79.4396815229605,44.1987043056441,10,3047,,Woodbine Avenue and Ravenshoe Road
-79.5465164312898,43.7858662443549,11,3045,,Weston Road and Colossus Road / Rowntree Dairy Road
-79.3370000799495,43.8675286901088,12,3043,,Warden Avenue and Baycliffe Road/ Carlton Road
-79.5758237398252,43.7947836609666,13,3039,,Pine Valley Drive and Chancellor Drive / Willis Road
-79.4384125470458,43.8902785468545,14,3028,,Elgin Mills Road East and Enford Road / Yorkland Street
-79.4257603531856,43.8370383938562,15,3004,,Highway 7 at Yonge Street Ramp and Highway 7
-79.437079587018,44.0839228512063,16,3012,,Leslie Street and Green Lane East
-79.5480647007212,43.7890449478067,17,3007,,Highway 7 and Weston Road
-79.4516782337652,43.82963235225,18,3008,,Highway 7 at Bathurst Street Ramp and Bathurst Street
-79.3627761670805,43.8679276271523,19,3046,,Woodbine Avenue and 16th Avenue
-79.4983556180199,43.7959614019235,20,3032,,Keele Street and Doney Crescent/ Jardin Drive
-79.3500931965617,43.8194568741051,21,3048,,Woodbine Avenue and Steelcase Road
-79.5209026381512,43.8917630417157,22,3034,,Keele Street and Kirby Road
-79.3203501516495,43.8398359900489,23,3021,,14th Avenue and Birchmount Road
-79.4174323032214,43.8848919498087,24,3024,,Bayview Avenue and Crosby Avenue / Redstone Road
-79.4476236111172,43.9142498583405,25,3049,,Yonge Street and Jefferson Forest Road/Tower Hill Road
-79.451960144254,44.0412458896689,26,3025,,Bayview Avenue and Mulock Drive
-79.438678121155,44.0643522765114,27,3001,,Davis Drive and Ashton Road at Carlson Drive
-79.3864586614784,43.9792276643224,28,3017,,Woodbine Avenue and Bloomington Road
-79.4812018306612,43.9386181530002,29,3010,,King Road and Bathurst Street
-79.4654320812532,44.2333141052363,30,3015,,The Queensway South and Metro Road South at Morton Avenue
-79.626024861285,43.7718273886643,31,3006,,Highway 7 and Vaughan Valley Boulevard
-79.4072636904343,44.0708098357597,32,3018,,Woodbine Avenue and Davis Drive
-79.625876562753,43.791122440077,33,3003,,Highway 27 and Langstaff Road
-79.5054830287169,43.9337286478793,34,3011,,King Road and Dufferin Street
-79.4608514046046,44.0780702133779,35,3029,,Green Lane East and Main Street North/2nd Concession Road
-79.5561940542124,43.8261800200727,36,3052,,Weston Road & Rutherford Road
-79.3292602363046,43.8377313743935,37,3051,,Warden Ave. and 14th Avenue / Alden Road
-79.6000959515475,43.8171234616715,38,3054 ,,Islington Ave. and Rutherford Rd
-79.5242271562932,43.7943559615456,39,3053,,Highway 7 and Jane St.
-79.5363723114035,43.8297843395204,40,3055,,Rutherford Road and Julliard Drive/Vaughan Mills Mall
